timestamp, name, driver_version, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/22 18:40:22.281, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 98.96 W, 65
2026/09/22 18:40:26.043, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 99.41 W, 65
2026/09/22 18:40:28.047, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 101.52 W, 65
2026/09/22 18:40:30.007, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3009 MiB, 1911 MHz, 5005 MHz, 100.74 W, 65
2026/09/22 18:40:31.966, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3009 MiB, 1911 MHz, 5005 MHz, 102.56 W, 66
2026/09/22 18:40:33.883, NVIDIA GeForce GTX 1080 Ti, 582.28, 76 %, 3 %, 2331 MiB, 1911 MHz, 5005 MHz, 93.17 W, 64
2026/09/22 18:40:35.800, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 2058 MiB, 1911 MHz, 5005 MHz, 81.59 W, 63
2026/09/22 18:40:37.717, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 2467 MiB, 1911 MHz, 5005 MHz, 81.88 W, 63
2026/09/22 18:40:39.634, NVIDIA GeForce GTX 1080 Ti, 582.28, 62 %, 5 %, 2818 MiB, 1911 MHz, 5005 MHz, 94.75 W, 64
2026/09/22 18:40:41.595, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 2823 MiB, 1911 MHz, 5005 MHz, 96.88 W, 64
2026/09/22 18:40:43.552, NVIDIA GeForce GTX 1080 Ti, 582.28, 68 %, 3 %, 2823 MiB, 1911 MHz, 5005 MHz, 96.68 W, 64
2026/09/22 18:40:45.515, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2817 MiB, 1911 MHz, 5005 MHz, 97.05 W, 64
2026/09/22 18:40:47.472, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2817 MiB, 1911 MHz, 5005 MHz, 96.09 W, 65
2026/09/22 18:40:49.430, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3011 MiB, 1911 MHz, 5005 MHz, 95.27 W, 64
2026/09/22 18:40:51.395, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 3010 MiB, 1911 MHz, 5005 MHz, 94.84 W, 65
2026/09/22 18:40:53.353, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3004 MiB, 1911 MHz, 5005 MHz, 98.61 W, 65
2026/09/22 18:40:55.311, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 5 %, 2976 MiB, 1911 MHz, 5005 MHz, 101.29 W, 65
2026/09/22 18:40:57.283, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2959 MiB, 1911 MHz, 5005 MHz, 95.35 W, 65
2026/09/22 18:41:00.927, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2979 MiB, 1911 MHz, 5005 MHz, 95.11 W, 65
2026/09/22 18:41:02.911, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 2974 MiB, 1911 MHz, 5005 MHz, 96.49 W, 65
2026/09/22 18:41:04.890, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2967 MiB, 1911 MHz, 5005 MHz, 95.51 W, 64
2026/09/22 18:41:06.845, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2967 MiB, 1911 MHz, 5005 MHz, 95.72 W, 65
2026/09/22 18:41:08.802, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 6 %, 3024 MiB, 1911 MHz, 5005 MHz, 98.88 W, 65
2026/09/22 18:41:10.754, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 2151 MiB, 1911 MHz, 5005 MHz, 83.69 W, 64
2026/09/22 18:41:12.704, NVIDIA GeForce GTX 1080 Ti, 582.28, 13 %, 2 %, 2635 MiB, 1911 MHz, 5005 MHz, 93.46 W, 63
2026/09/22 18:41:14.635, NVIDIA GeForce GTX 1080 Ti, 582.28, 21 %, 3 %, 3102 MiB, 1911 MHz, 5005 MHz, 81.88 W, 63
2026/09/22 18:41:16.529, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3117 MiB, 1911 MHz, 5005 MHz, 97.34 W, 65
2026/09/22 18:41:18.423, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3109 MiB, 1911 MHz, 5005 MHz, 96.83 W, 65
2026/09/22 18:41:20.366, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 5 %, 3098 MiB, 1911 MHz, 5005 MHz, 98.06 W, 65
2026/09/22 18:41:22.325, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3093 MiB, 1911 MHz, 5005 MHz, 96.09 W, 64
2026/09/22 18:41:24.290, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3079 MiB, 1911 MHz, 5005 MHz, 97.52 W, 65
2026/09/22 18:41:26.250, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3084 MiB, 1911 MHz, 5005 MHz, 97.50 W, 65
2026/09/22 18:41:28.209, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3106 MiB, 1911 MHz, 5005 MHz, 98.67 W, 65
2026/09/22 18:41:30.174, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3007 MiB, 1911 MHz, 5005 MHz, 97.52 W, 65
2026/09/22 18:41:33.913, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3026 MiB, 1911 MHz, 5005 MHz, 98.11 W, 65
2026/09/22 18:41:35.915, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3179 MiB, 1911 MHz, 5005 MHz, 102.77 W, 65
2026/09/22 18:41:37.874, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3170 MiB, 1911 MHz, 5005 MHz, 98.66 W, 65
2026/09/22 18:41:39.833, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3157 MiB, 1911 MHz, 5005 MHz, 96.56 W, 65
2026/09/22 18:41:41.741, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3135 MiB, 1911 MHz, 5005 MHz, 97.13 W, 65
2026/09/22 18:41:43.655, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3124 MiB, 1911 MHz, 5005 MHz, 96.43 W, 65
2026/09/22 18:41:45.563, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3119 MiB, 1911 MHz, 5005 MHz, 96.36 W, 65
2026/09/22 18:41:47.523, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3115 MiB, 1911 MHz, 5005 MHz, 96.61 W, 65
2026/09/22 18:41:49.481, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3105 MiB, 1911 MHz, 5005 MHz, 105.56 W, 65
2026/09/22 18:41:51.441, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3083 MiB, 1911 MHz, 5005 MHz, 96.22 W, 65
2026/09/22 18:41:53.398, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3137 MiB, 1911 MHz, 5005 MHz, 95.67 W, 65
